@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_VAR_on_ACC_X numeric
@attribute F3_PeakToPeak_on_ACC_X numeric
@attribute F4_MIN_on_ACC_X numeric
@attribute F5_MAX_on_ACC_X numeric
@attribute F6_MEAN_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Y numeric
@attribute F8_PeakToPeak_on_ACC_Y numeric
@attribute F9_MIN_on_ACC_Y numeric
@attribute F10_MAX_on_ACC_Y numeric
@attribute F11_MEAN_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_Z numeric
@attribute F13_PeakToPeak_on_ACC_Z numeric
@attribute F14_MIN_on_ACC_Z numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MEAN_on_GY_X numeric
@attribute F17_VAR_on_GY_X numeric
@attribute F18_PeakToPeak_on_GY_X numeric
@attribute F19_MIN_on_GY_X numeric
@attribute F20_MAX_on_GY_X numeric
@attribute F21_MEAN_on_GY_Y numeric
@attribute F22_VAR_on_GY_Y numeric
@attribute F23_PeakToPeak_on_GY_Y numeric
@attribute F24_MIN_on_GY_Y numeric
@attribute F25_MAX_on_GY_Y numeric
@attribute F26_MEAN_on_GY_Z numeric
@attribute F27_VAR_on_GY_Z numeric
@attribute F28_PeakToPeak_on_GY_Z numeric
@attribute F29_MIN_on_GY_Z numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Forward_Backward, Idle, Lateral, Up_Down}

@data
-0.00537872, 0.0291748, 0.876465, -0.482178, 0.394043, -0.0266876, 0.00217056, 0.216797, -0.10144, 0.115356, 1.01855, 0.00390625, 0.275391, 0.924805, 1.2002, -0.00476074, 0.067627, 1.22559, -0.611328, 0.614258, -0.00617981, 0.0996094, 1.83301, -0.896484, 0.936035, -0.00717926, 0.0539246, 1.2959, -0.482422, 0.813477, Forward_Backward
0.0348816, 0.0209198, 0.641602, -0.238525, 0.402832, -0.0365601, 0.00225449, 0.234985, -0.150635, 0.0842896, 1.01465, 0.00292969, 0.227539, 0.90625, 1.13379, -0.00378227, 0.0786133, 1.65527, -0.728516, 0.926758, 0.0358887, 0.116882, 2.02734, -1.16504, 0.86084, -0.00801086, 0.0474243, 1.23242, -0.717285, 0.514648, Forward_Backward
-0.00308418, 0.0268707, 0.692383, -0.244263, 0.447754, -0.0374451, 0.00184059, 0.252197, -0.105896, 0.14624, 1.0166, 0.000976563, 0.226074, 0.874512, 1.10059, -0.0276489, 0.0452271, 0.99707, -0.524414, 0.472412, -0.020401, 0.0809937, 1.65332, -0.759277, 0.893555, -0.0111465, 0.0327148, 1.14258, -0.731445, 0.411133, Forward_Backward
-0.0242462, 0.02034, 0.723633, -0.401367, 0.322266, -0.0568848, 0.00174522, 0.225952, -0.183716, 0.0422058, 1.01855, 0.00292969, 0.193848, 0.928223, 1.12207, 0.0200195, 0.0789185, 1.77539, -0.725586, 1.0498, 0.0334167, 0.105591, 1.62695, -0.82666, 0.800293, 0.0163574, 0.02034, 0.82666, -0.507324, 0.319336, Forward_Backward
-0.00172806, 0.0202026, 0.654297, -0.284424, 0.369873, -0.0492554, 0.00323868, 0.327393, -0.194824, 0.132446, 1.0166, 0, 0.313477, 0.891602, 1.20508, 0.00156784, 0.071228, 1.65332, -0.780762, 0.872559, 0.0139542, 0.0545959, 1.27051, -0.686523, 0.583984, -0.0384827, 0.0213928, 0.774414, -0.431641, 0.342773, Forward_Backward
0.00257683, 0.025528, 0.723145, -0.262939, 0.459961, -0.0415955, 0.0025692, 0.283203, -0.153442, 0.129639, 1.01758, 0.00195313, 0.242676, 0.906738, 1.14941, 0.0194855, 0.0498047, 1.08984, -0.43042, 0.658691, 0.0174561, 0.146118, 2.48438, -1.3584, 1.12598, 0.00232887, 0.0233917, 0.796875, -0.466797, 0.329834, Forward_Backward
-0.0319519, 0.0275726, 0.72168, -0.336182, 0.385254, -0.0584412, 0.0021801, 0.203857, -0.162842, 0.0409851, 1.00879, 0.00195313, 0.29834, 0.835449, 1.13379, -0.016861, 0.0512695, 1.56348, -0.64209, 0.920898, 0.0323181, 0.0682373, 1.14844, -0.506348, 0.64209, -0.000634193, 0.0491638, 1.4082, -0.570313, 0.837891, Forward_Backward
-0.0438232, 0.0193634, 0.668457, -0.393311, 0.275146, -0.0319824, 0.00194454, 0.221802, -0.167236, 0.0545044, 1.02246, 0.000976563, 0.322754, 0.902832, 1.22559, 0.00938416, 0.0434875, 1.01465, -0.489014, 0.525391, 0.0132523, 0.12854, 1.90527, -0.97998, 0.924805, 0.00482559, 0.0337219, 0.87207, -0.461426, 0.410645, Forward_Backward
-0.0165253, 0.030014, 0.753418, -0.309082, 0.444092, -0.0121918, 0.00372696, 0.298096, -0.148071, 0.149902, 1.02051, 0.00195313, 0.351074, 0.859863, 1.21094, -0.0121994, 0.0795288, 1.35449, -0.713867, 0.640625, 0.0152359, 0.115356, 1.8623, -0.883301, 0.979004, -0.0346985, 0.0326233, 0.841797, -0.49585, 0.345947, Forward_Backward
-0.0458984, 0.0358582, 0.783691, -0.342529, 0.440918, -0.023819, 0.00317001, 0.340576, -0.136475, 0.204102, 1.00195, 0.0107422, 0.754395, 0.688965, 1.44336, -0.0214233, 0.0537109, 1.47754, -0.699219, 0.777832, 0.012207, 0.101135, 2.49609, -1.08496, 1.41113, 0.0150299, 0.0332336, 0.959473, -0.626465, 0.333008, Forward_Backward
-0.0475159, 0.0283508, 0.819824, -0.371826, 0.447998, -0.0248108, 0.00361061, 0.295898, -0.19043, 0.105286, 1.01563, 0, 0.433105, 0.861816, 1.29492, 0.000259399, 0.102051, 1.74609, -0.937988, 0.807617, 0.0242157, 0.128174, 2.0625, -0.913574, 1.14844, 0.00826263, 0.0314331, 0.912598, -0.476074, 0.436523, Forward_Backward
-0.0464172, 0.0173187, 0.654785, -0.455811, 0.19873, -0.0311737, 0.00200653, 0.274658, -0.213013, 0.0615234, 1.01953, 0, 0.19873, 0.916504, 1.11523, 0.00526047, 0.0586853, 1.32813, -0.501465, 0.82666, -0.0184021, 0.0606995, 1.42578, -0.75, 0.675293, -0.010704, 0.0482788, 1.19824, -0.659668, 0.538574, Forward_Backward
