@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_MEAN_on_GY_X numeric
@attribute F6_MEAN_on_GY_Y numeric
@attribute F7_MEAN_on_GY_Z numeric
@attribute F8_MEAN_on_GY_V numeric
@attribute F9_VAR_on_ACC_X numeric
@attribute F10_VAR_on_ACC_Y numeric
@attribute F11_VAR_on_ACC_Z numeric
@attribute F12_VAR_on_ACC_V numeric
@attribute F13_VAR_on_GY_X numeric
@attribute F14_VAR_on_GY_Y numeric
@attribute F15_VAR_on_GY_Z numeric
@attribute F16_VAR_on_GY_V numeric
@attribute F17_ENERGY_on_ACC_X numeric
@attribute F18_ENERGY_on_ACC_Y numeric
@attribute F19_ENERGY_on_ACC_Z numeric
@attribute F20_ENERGY_on_ACC_V numeric
@attribute F21_ENERGY_on_GY_X numeric
@attribute F22_ENERGY_on_GY_Y numeric
@attribute F23_ENERGY_on_GY_Z numeric
@attribute F24_ENERGY_on_GY_V numeric
@attribute F25_PeakToPeak_on_ACC_X numeric
@attribute F26_PeakToPeak_on_ACC_Y numeric
@attribute F27_PeakToPeak_on_ACC_Z numeric
@attribute F28_PeakToPeak_on_ACC_V numeric
@attribute F29_PeakToPeak_on_GY_X numeric
@attribute F30_PeakToPeak_on_GY_Y numeric
@attribute F31_PeakToPeak_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.0666504, -0.0772705, 0.958984, 1.03027, 0.182373, -0.154297, 0.0310364, 0.990723, 0.102417, 0.0178986, 0.0283203, 0.0175781, 0.0625, 0.581055, 0.355225, 0.0751953, 8.66406, 1.93457, 76.8125, 87.5, 7.76172, 49.0313, 28.875, 85.6875, 1.07813, 0.534668, 0.645508, 0.48877, 1.25684, 2.99805, 2.13867, Circle
0.0783691, -0.108215, 0.983887, 1.02344, 0.0977783, 0.046051, 0.0958862, 0.785156, 0.0607605, 0.00806427, 0.00390625, 0.00878906, 0.0593567, 0.311768, 0.294434, 0.0708008, 5.42188, 1.60352, 78.8125, 85.625, 5.58594, 25.4531, 24.6094, 55.7188, 0.860352, 0.424316, 0.335449, 0.367676, 0.982422, 2.1582, 2.07813, Circle
-0.00556564, -0.102905, 1, 1.03711, 0.110962, 0.051178, 0.106384, 0.82959, 0.0515747, 0.0115509, 0.0175781, 0.0166016, 0.0511169, 0.376465, 0.330811, 0.097168, 4.18359, 1.79492, 82.5, 88.5, 5.14063, 30.7344, 27.7188, 63.6563, 0.878906, 0.466553, 0.562012, 0.525391, 1.16406, 2.83203, 1.93555, Circle
-0.109375, -0.0845947, 0.947754, 1.00293, 0.205078, 0.0929565, -0.0350037, 0.904297, 0.0655518, 0.0158234, 0.019043, 0.0136719, 0.0941772, 0.466064, 0.290039, 0.0849609, 6.28516, 1.86328, 74.375, 82.625, 11.0391, 38.4688, 23.6094, 73.1875, 0.793457, 0.483154, 0.579102, 0.427734, 1.48242, 2.50391, 2.19531, Circle
-0.0730591, -0.0939941, 0.938477, 1.00586, 0.160645, -0.0438843, -0.0985718, 0.839844, 0.0762939, 0.028244, 0.0249023, 0.0126953, 0.0679321, 0.337402, 0.354492, 0.0917969, 6.61328, 3.00586, 73.4375, 83, 7.60156, 27.5, 29.5313, 64.625, 0.933105, 0.659668, 0.605469, 0.54541, 1.24609, 2.96484, 2.3125, Circle
-0.0558472, -0.112305, 0.978516, 1.0166, 0.0386658, -0.10553, -0.0399475, 0.814453, 0.0469971, 0.00887299, 0.0185547, 0.0166016, 0.102905, 0.351074, 0.260498, 0.0664063, 4.0625, 1.74121, 79.125, 85.125, 8.46094, 29.3594, 21.25, 59.1563, 0.835449, 0.437256, 0.587402, 0.53418, 1.30371, 2.33203, 2.09961, Circle
-0.0539856, -0.12915, 0.995605, 1.03613, 0.103516, -0.0623474, 0.0119476, 0.758301, 0.0427551, 0.0178986, 0.0175781, 0.0166016, 0.130127, 0.257324, 0.22522, 0.0522461, 3.70117, 2.80273, 81.75, 88.3125, 11.4141, 21.1719, 18.2656, 50.875, 0.765137, 0.469727, 0.485352, 0.486328, 1.66406, 1.90137, 1.97656, Circle
-0.0358887, -0.0734253, 0.999512, 1.03125, 0.0803223, -0.0418091, 0.0339966, 0.707031, 0.0466309, 0.00865936, 0.015625, 0.0117188, 0.0614319, 0.289551, 0.233643, 0.0952148, 3.88281, 1.13867, 82.25, 87.1875, 5.5, 23.6094, 19.0313, 48.25, 0.762207, 0.393311, 0.578125, 0.55127, 1.08301, 3.07031, 2.05078, Circle
-0.067627, -0.0777588, 0.982422, 1.01953, 0.10498, -0.0326538, 0.0607605, 0.744629, 0.0570068, 0.00843048, 0.0107422, 0.0146484, 0.0645752, 0.260742, 0.254395, 0.0415039, 4.99219, 1.17285, 79.125, 85.375, 6.12891, 21.2188, 20.9219, 48.3125, 0.885254, 0.400635, 0.541992, 0.441895, 1.28125, 2.07031, 1.84961, Circle
-0.0496826, -0.0646973, 0.996094, 1.03125, 0.0939331, 0.0343018, 0.0559082, 0.745605, 0.0481262, 0.0117645, 0.0146484, 0.0078125, 0.100464, 0.250977, 0.243896, 0.0522461, 4.10156, 1.29199, 81.625, 86.8125, 8.85938, 20.4375, 20.0313, 49.3125, 0.79541, 0.432617, 0.496094, 0.492188, 1.72363, 2.07617, 1.80664, Circle
