@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.0269318, 0.0450134, 0.981445, 0.125244, 0.144653, -0.00737762, 0.047821, 0.0124512, 0.0229492, 0.112854, 0.449463, 0.459229, 0.789551, 0.51416, 0.561523, 1.83691, 2.53125, 2.28711, -0.443848, -0.216553, 0.646484, -0.755859, -1.04395, -1.24219, 0.345703, 0.297363, 1.20801, 1.08105, 1.48633, 1.04492, Circle
-0.0664673, -0.0799561, 0.964355, 0.122864, -0.103027, -0.0841675, 0.0580444, 0.0127411, 0.0219727, 0.118225, 0.45166, 0.395508, 0.937012, 0.492188, 0.665039, 1.49707, 2.70508, 2.45898, -0.49292, -0.354004, 0.595703, -0.868652, -1.37695, -1.16602, 0.443848, 0.138184, 1.26074, 0.628418, 1.32715, 1.29199, Circle
-0.0666504, -0.0772705, 0.958984, 0.182373, -0.154297, 0.0310364, 0.102417, 0.0178986, 0.0283203, 0.0625, 0.581055, 0.355225, 1.07813, 0.534668, 0.645508, 1.25684, 2.99805, 2.13867, -0.635254, -0.319092, 0.611328, -0.362549, -1.39063, -1.0127, 0.442139, 0.215332, 1.25684, 0.894043, 1.60645, 1.12598, Circle
0.0783691, -0.108215, 0.983887, 0.0977783, 0.046051, 0.0958862, 0.0607605, 0.00806427, 0.00390625, 0.0593567, 0.311768, 0.294434, 0.860352, 0.424316, 0.335449, 0.982422, 2.1582, 2.07813, -0.380615, -0.293213, 0.781738, -0.455078, -0.912598, -1.08398, 0.479492, 0.130981, 1.11719, 0.527344, 1.24414, 0.992676, Circle
-0.00556564, -0.102905, 1, 0.110962, 0.051178, 0.106384, 0.0515747, 0.0115509, 0.0175781, 0.0511169, 0.376465, 0.330811, 0.878906, 0.466553, 0.562012, 1.16406, 2.83203, 1.93555, -0.486328, -0.355469, 0.64502, -0.598633, -1.1709, -0.874512, 0.392578, 0.111023, 1.20703, 0.56543, 1.66113, 1.06055, Circle
-0.109375, -0.0845947, 0.947754, 0.205078, 0.0929565, -0.0350037, 0.0655518, 0.0158234, 0.019043, 0.0941772, 0.466064, 0.290039, 0.793457, 0.483154, 0.579102, 1.48242, 2.50391, 2.19531, -0.499756, -0.326416, 0.620117, -0.605469, -1.09082, -1.23145, 0.293457, 0.156616, 1.19922, 0.876953, 1.41309, 0.962402, Circle
-0.0730591, -0.0939941, 0.938477, 0.160645, -0.0438843, -0.0985718, 0.0762939, 0.028244, 0.0249023, 0.0679321, 0.337402, 0.354492, 0.933105, 0.659668, 0.605469, 1.24609, 2.96484, 2.3125, -0.575684, -0.405029, 0.628906, -0.556152, -1.42871, -1.22949, 0.357178, 0.254395, 1.23438, 0.689453, 1.53516, 1.08203, Circle
-0.0558472, -0.112305, 0.978516, 0.0386658, -0.10553, -0.0399475, 0.0469971, 0.00887299, 0.0185547, 0.102905, 0.351074, 0.260498, 0.835449, 0.437256, 0.587402, 1.30371, 2.33203, 2.09961, -0.45752, -0.347168, 0.710449, -0.749512, -1.17676, -0.96582, 0.37793, 0.0900269, 1.29785, 0.554199, 1.15527, 1.13281, Circle
-0.0539856, -0.12915, 0.995605, 0.103516, -0.0623474, 0.0119476, 0.0427551, 0.0178986, 0.0175781, 0.130127, 0.257324, 0.22522, 0.765137, 0.469727, 0.485352, 1.66406, 1.90137, 1.97656, -0.47168, -0.351807, 0.717773, -0.791016, -1.0127, -0.864746, 0.293213, 0.117798, 1.20313, 0.872559, 0.888672, 1.11133, Circle
-0.0358887, -0.0734253, 0.999512, 0.0803223, -0.0418091, 0.0339966, 0.0466309, 0.00865936, 0.015625, 0.0614319, 0.289551, 0.233643, 0.762207, 0.393311, 0.578125, 1.08301, 3.07031, 2.05078, -0.426758, -0.25293, 0.705078, -0.509277, -1.21387, -0.931152, 0.335205, 0.140381, 1.2832, 0.573242, 1.85547, 1.11914, Circle
-0.067627, -0.0777588, 0.982422, 0.10498, -0.0326538, 0.0607605, 0.0570068, 0.00843048, 0.0107422, 0.0645752, 0.260742, 0.254395, 0.885254, 0.400635, 0.541992, 1.28125, 2.07031, 1.84961, -0.55127, -0.258545, 0.662109, -0.711426, -1.04492, -0.893066, 0.33374, 0.141968, 1.2041, 0.569824, 1.02539, 0.956055, Circle
-0.0496826, -0.0646973, 0.996094, 0.0939331, 0.0343018, 0.0559082, 0.0481262, 0.0117645, 0.0146484, 0.100464, 0.250977, 0.243896, 0.79541, 0.432617, 0.496094, 1.72363, 2.07617, 1.80664, -0.446045, -0.333252, 0.754883, -0.752441, -1.00098, -0.780762, 0.349121, 0.0993042, 1.25098, 0.970703, 1.0752, 1.02539, Circle
-0.0969238, -0.0722046, 0.986816, 0.0604858, 0.0431824, 0.0510254, 0.0438843, 0.00943756, 0.015625, 0.0820923, 0.301758, 0.172729, 0.765625, 0.449463, 0.483887, 1.30176, 2.0918, 1.7168, -0.465576, -0.368652, 0.733887, -0.624023, -0.981934, -0.785156, 0.299805, 0.0808716, 1.21777, 0.677246, 1.10938, 0.931152, Circle
