@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_VAR_on_ACC_X numeric
@attribute F8_VAR_on_ACC_Y numeric
@attribute F9_VAR_on_ACC_Z numeric
@attribute F10_VAR_on_GY_X numeric
@attribute F11_VAR_on_GY_Y numeric
@attribute F12_VAR_on_GY_Z numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_GY_X numeric
@attribute F17_PeakToPeak_on_GY_Y numeric
@attribute F18_PeakToPeak_on_GY_Z numeric
@attribute F19_MIN_on_ACC_X numeric
@attribute F20_MIN_on_ACC_Y numeric
@attribute F21_MIN_on_ACC_Z numeric
@attribute F22_MIN_on_GY_X numeric
@attribute F23_MIN_on_GY_Y numeric
@attribute F24_MIN_on_GY_Z numeric
@attribute F25_MAX_on_ACC_X numeric
@attribute F26_MAX_on_ACC_Y numeric
@attribute F27_MAX_on_ACC_Z numeric
@attribute F28_MAX_on_GY_X numeric
@attribute F29_MAX_on_GY_Y numeric
@attribute F30_MAX_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
-0.00840759, 0.00082922, 1.0127, -0.004879, 0.0102921, -0.00474167, 5.36442e-07, 7.7486e-07, 0.00585938, 1.43051e-06, 3.09944e-06, 1.78814e-07, 0.00362778, 0.00468445, 0.00292969, 0.0049324, 0.0063858, 0.00149918, -0.0102386, -0.00163174, 1.01367, -0.00727081, 0.00700378, -0.00571442, -0.00661087, 0.00304985, 1.0166, -0.00233841, 0.0133896, -0.00421524, Idle
-0.00800323, 0.00104618, 1.01563, -0.00558853, 0.00978851, -0.00508118, 8.9407e-07, 8.9407e-07, 0, 1.49012e-06, 1.96695e-06, 1.78814e-07, 0.00471115, 0.00412369, 0.00390625, 0.00447083, 0.00617981, 0.00149918, -0.01017, -0.000518322, 1.01367, -0.00782013, 0.00719452, -0.00570679, -0.00545883, 0.00360489, 1.01758, -0.0033493, 0.0133743, -0.00420761, Idle
-0.00778961, 0.00101471, 1.01563, -0.00535583, 0.00950623, -0.00498581, 2.38419e-07, 6.55651e-07, 0, 5.36442e-07, 1.43051e-06, 2.98023e-07, 0.00300217, 0.00342369, 0.00292969, 0.0039444, 0.00488663, 0.00187111, -0.00917053, -0.000426769, 1.01367, -0.00753021, 0.00717545, -0.00576401, -0.00616837, 0.00299644, 1.0166, -0.00358772, 0.0120621, -0.0038929, Idle
-0.00831604, 0.000535011, 1.00977, -0.00445557, 0.00900269, -0.00495148, 5.96046e-07, 9.53674e-07, 0.0117188, 1.37091e-06, 2.5034e-06, 2.38419e-07, 0.00417709, 0.00393295, 0.00390625, 0.00406265, 0.0055542, 0.00141525, -0.0104752, -0.00179863, 1.0127, -0.00674438, 0.00632477, -0.00561142, -0.00629807, 0.00213432, 1.0166, -0.00268173, 0.011879, -0.00419617, Idle
-0.00802612, 0.000669479, 1.0127, -0.00464249, 0.00930023, -0.0050087, 7.15256e-07, 4.17233e-07, 0, 1.13249e-06, 4.41074e-06, 1.19209e-07, 0.00400925, 0.00301933, 0.00390625, 0.00449371, 0.00806427, 0.00154495, -0.0105515, -0.000625134, 1.01367, -0.00655365, 0.00437927, -0.00575256, -0.00654221, 0.00239372, 1.01758, -0.00205994, 0.0124435, -0.00420761, Idle
-0.0082016, 0.000761986, 1.00977, -0.0054245, 0.0104752, -0.00491714, 7.7486e-07, 6.55651e-07, 0.0078125, 1.19209e-06, 1.90735e-06, 2.98023e-07, 0.00315857, 0.00335503, 0.00390625, 0.00436783, 0.00496292, 0.00236511, -0.00996399, -0.000655651, 1.01367, -0.00788879, 0.00766373, -0.00611496, -0.00680542, 0.0026989, 1.01758, -0.00352097, 0.0126266, -0.00374985, Idle
-0.00831604, 0.000648499, 1.00586, -0.00558853, 0.0096283, -0.00492096, 6.55651e-07, 5.36442e-07, 0.0195313, 1.54972e-06, 3.15905e-06, 2.38419e-07, 0.00357056, 0.00335503, 0.00390625, 0.00417328, 0.00636673, 0.00128174, -0.0102768, -0.00115871, 1.0127, -0.00758743, 0.00645065, -0.00574493, -0.00670624, 0.00219536, 1.0166, -0.00341606, 0.0128174, -0.0044632, Idle
-0.00836945, 0.000747681, 1.01074, -0.00485992, 0.00915527, -0.00485611, 1.01328e-06, 5.96046e-07, 0.0107422, 8.9407e-07, 1.66893e-06, 2.38419e-07, 0.00523758, 0.00323296, 0.0078125, 0.00409317, 0.00535583, 0.00183105, -0.0106659, -0.00104427, 1.01074, -0.00757599, 0.0068512, -0.00569534, -0.00542831, 0.00218773, 1.01855, -0.00348282, 0.012207, -0.00386429, Idle
-0.00771713, 0.000957966, 1.01172, -0.00498581, 0.00995636, -0.00508499, 8.9407e-07, 7.15256e-07, 0.00390625, 1.07288e-06, 1.60933e-06, 3.57628e-07, 0.00413895, 0.0043602, 0.00390625, 0.00423813, 0.00452805, 0.0021553, -0.00974274, -0.00100613, 1.0127, -0.00754929, 0.00770187, -0.00630569, -0.00560379, 0.00335312, 1.0166, -0.00331116, 0.0122299, -0.00415039, Idle
-0.00807953, 0.000944138, 1.0127, -0.00500107, 0.00897217, -0.00507736, 1.01328e-06, 8.34465e-07, 0.00976563, 1.13249e-06, 1.43051e-06, 1.19209e-07, 0.00680161, 0.00415039, 0.00292969, 0.00399017, 0.00478745, 0.00195694, -0.0106888, -0.00133419, 1.0127, -0.00704193, 0.00656509, -0.00600052, -0.00388718, 0.00281334, 1.01563, -0.00305367, 0.0113525, -0.00404358, Idle
-0.00783539, 0.000751495, 1.01074, -0.00527573, 0.0101166, -0.00495911, 4.17233e-07, 9.53674e-07, 0.00683594, 2.38419e-07, 4.17233e-07, 1.78814e-07, 0.0038414, 0.00546646, 0.00292969, 0.00266266, 0.00321198, 0.0014801, -0.0098114, -0.00211143, 1.01367, -0.00667953, 0.0083847, -0.0055809, -0.00597, 0.00335312, 1.0166, -0.00401688, 0.0115967, -0.0041008, Idle
-0.00802612, 0.000654697, 1.01465, -0.00513077, 0.00996399, -0.00485229, 1.49012e-06, 7.15256e-07, 0.00585938, 7.15256e-07, 1.96695e-06, 1.78814e-07, 0.00537491, 0.00488663, 0.00488281, 0.0035038, 0.00670624, 0.00191879, -0.0101624, -0.00137234, 1.0127, -0.00730133, 0.00680542, -0.00589752, -0.00478745, 0.00351334, 1.01758, -0.00379753, 0.0135117, -0.00397873, Idle
-0.00830078, 0.000755787, 1.0166, -0.00477219, 0.00926208, -0.00500107, 8.9407e-07, 5.36442e-07, 0, 7.15256e-07, 2.44379e-06, 1.19209e-07, 0.00269318, 0.0031414, 0.00585938, 0.00372124, 0.00633621, 0.00163269, -0.00959015, -0.00083828, 1.01367, -0.00704193, 0.00607681, -0.00582886, -0.00689697, 0.00230217, 1.01953, -0.00332069, 0.012413, -0.00419617, Idle
