@relation 'MLC'

@attribute F1_ENERGY_on_ACC_X numeric
@attribute F2_ENERGY_on_ACC_Y numeric
@attribute F3_ENERGY_on_ACC_Z numeric
@attribute F4_ENERGY_on_GY_X numeric
@attribute F5_ENERGY_on_GY_Y numeric
@attribute F6_ENERGY_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_ZeroCross_on_GY_X numeric
@attribute F11_ZeroCross_on_GY_Y numeric
@attribute F12_ZeroCross_on_GY_Z numeric
@attribute F13_PositiveZeroCross_on_ACC_X numeric
@attribute F14_PositiveZeroCross_on_ACC_Y numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_Y numeric
@attribute F21_NegativeZeroCross_on_ACC_Z numeric
@attribute F22_NegativeZeroCross_on_GY_X numeric
@attribute F23_NegativeZeroCross_on_GY_Y numeric
@attribute F24_NegativeZeroCross_on_GY_Z numeric
@attribute F25_PeaKDet_on_ACC_X numeric
@attribute F26_PeaKDet_on_ACC_Y numeric
@attribute F27_PeaKDet_on_ACC_Z numeric
@attribute F28_PeaKDet_on_GY_X numeric
@attribute F29_PeaKDet_on_GY_Y numeric
@attribute F30_PeaKDet_on_GY_Z numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
8.64844, 1.70898, 76.6875, 6.22656, 44.0313, 27.1719, 4, 8, 12, 12, 10, 4, 2, 4, 6, 6, 6, 2, 2, 4, 6, 6, 4, 2, 23, 28, 17, 26, 24, 22, Circle
4.99609, 1.53418, 79.125, 3.27148, 22.125, 22.75, 4, 8, 8, 14, 20, 4, 2, 4, 4, 6, 10, 2, 2, 4, 4, 8, 10, 2, 24, 29, 32, 31, 23, 26, Circle
3.82617, 1.59863, 81.6875, 3.36328, 28, 25.5, 6, 10, 14, 20, 6, 8, 2, 6, 6, 10, 4, 4, 4, 4, 8, 10, 2, 4, 30, 25, 23, 33, 25, 25, Circle
6.37109, 1.69141, 73.5625, 8.78906, 33.5625, 21.8438, 4, 12, 8, 12, 8, 6, 2, 6, 4, 6, 4, 2, 2, 6, 4, 6, 4, 4, 24, 25, 26, 22, 16, 20, Circle
6.10547, 2.83789, 73.5, 5.74609, 24.0469, 26.4531, 4, 8, 8, 14, 18, 8, 2, 4, 4, 6, 8, 4, 2, 4, 4, 8, 10, 4, 25, 21, 27, 22, 20, 20, Circle
3.57031, 1.72168, 79.4375, 5.42188, 25.9375, 18.8438, 6, 18, 6, 20, 8, 4, 4, 8, 4, 10, 4, 2, 2, 10, 2, 10, 4, 2, 30, 33, 26, 17, 23, 20, Circle
3.44531, 2.55078, 81.4375, 7.61328, 17.7813, 15.9609, 6, 8, 4, 18, 12, 6, 4, 4, 2, 10, 6, 4, 2, 4, 2, 8, 6, 2, 33, 31, 29, 19, 20, 31, Circle
3.58398, 0.992676, 81.375, 3.39648, 19.8438, 16.8125, 4, 20, 22, 28, 12, 8, 2, 10, 10, 14, 6, 4, 2, 10, 12, 14, 6, 4, 24, 32, 34, 24, 27, 19, Circle
4.70313, 0.939941, 79.375, 4.36328, 19.2031, 19.3281, 4, 8, 18, 20, 6, 4, 2, 4, 10, 10, 4, 2, 2, 4, 8, 10, 2, 2, 32, 34, 36, 29, 27, 22, Circle
3.79297, 1.11914, 81.375, 6.35938, 18.8281, 17.9844, 8, 10, 4, 20, 4, 4, 4, 6, 2, 10, 2, 2, 4, 4, 2, 10, 2, 2, 23, 28, 29, 26, 30, 22, Circle
