@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_ACC_V numeric
@attribute F5_VAR_on_ACC_X numeric
@attribute F6_VAR_on_ACC_Y numeric
@attribute F7_VAR_on_ACC_Z numeric
@attribute F8_VAR_on_ACC_V numeric
@attribute F9_ENERGY_on_ACC_X numeric
@attribute F10_ENERGY_on_ACC_Y numeric
@attribute F11_ENERGY_on_ACC_Z numeric
@attribute F12_ENERGY_on_ACC_V numeric
@attribute F13_PeakToPeak_on_ACC_X numeric
@attribute F14_PeakToPeak_on_ACC_Y numeric
@attribute F15_PeakToPeak_on_ACC_Z numeric
@attribute F16_PeakToPeak_on_ACC_V numeric
@attribute class {Circle, Idle, Square, Triangle}

@data
0.0740967, -0.110535, 0.986816, 1.02539, 0.0561523, 0.00670624, 0.00244141, 0.00683594, 4.99609, 1.53418, 79.125, 85.8125, 0.757813, 0.35376, 0.307129, 0.304688, Circle
-0.0126953, -0.0999756, 0.996094, 1.03125, 0.0470581, 0.00971985, 0.015625, 0.00976563, 3.82617, 1.59863, 81.6875, 87, 0.683105, 0.359619, 0.479492, 0.425781, Circle
-0.114685, -0.0830688, 0.945313, 0.999512, 0.0654907, 0.0139771, 0.0141602, 0.0107422, 6.37109, 1.69141, 73.5625, 81.8125, 0.728516, 0.375244, 0.461426, 0.354492, Circle
-0.0703125, -0.0966187, 0.942871, 1.00195, 0.0703735, 0.0256653, 0.0175781, 0.0126953, 6.10547, 2.83789, 73.5, 82.4375, 0.833008, 0.51416, 0.438477, 0.404297, Circle
-0.0514221, -0.116333, 0.984863, 1.0166, 0.0413818, 0.00770569, 0.0102539, 0.0117188, 3.57031, 1.72168, 79.4375, 84.6875, 0.702148, 0.417725, 0.397461, 0.34375, Circle
-0.0520325, -0.127563, 0.99707, 1.03516, 0.0397949, 0.0151978, 0.0107422, 0.00976563, 3.44531, 2.55078, 81.4375, 87.625, 0.654297, 0.414307, 0.391602, 0.337402, Circle
-0.0329285, -0.0726318, 0.994629, 1.02539, 0.0431213, 0.00696945, 0.0146484, 0.0107422, 3.58398, 0.992676, 81.375, 86.125, 0.681152, 0.320557, 0.447754, 0.380859, Circle
-0.0681152, -0.0761108, 0.982422, 1.02051, 0.0533752, 0.00580215, 0.0136719, 0.00683594, 4.70313, 0.939941, 79.375, 84.9375, 0.728027, 0.28833, 0.46875, 0.345215, Circle
-0.053772, -0.0628052, 0.995605, 1.02832, 0.0438843, 0.00986481, 0.0126953, 0.00878906, 3.79297, 1.11914, 81.375, 86.4375, 0.734863, 0.351807, 0.353516, 0.333984, Circle
-0.098999, -0.0732422, 0.98291, 1.01758, 0.0410461, 0.00761414, 0.0146484, 0.00976563, 4.12109, 1.05176, 79.5, 84.6875, 0.666016, 0.325195, 0.373047, 0.325195, Circle
-0.130737, -0.0795288, 0.953125, 0.993652, 0.0440674, 0.0062027, 0.0180664, 0.0146484, 4.95703, 1.01563, 75.125, 81.25, 0.625977, 0.338867, 0.462402, 0.443848, Circle
-0.111816, -0.0922241, 0.968262, 1.00586, 0.0389404, 0.010582, 0.0161133, 0.0146484, 4.17188, 1.54688, 77.3125, 83.1875, 0.645508, 0.338623, 0.395508, 0.344727, Circle
-0.081604, -0.139404, 0.992188, 1.03516, 0.0400085, 0.00971985, 0.015625, 0.00585938, 3.7832, 2.36328, 81.0625, 87.3125, 0.625488, 0.443848, 0.447754, 0.341309, Circle
-0.0031662, 0.00286102, 1.01465, 1.0166, 0.00222969, 0.000845909, 0, 0, 0.181519, 0.0692139, 83.4375, 83.625, 0.240234, 0.143555, 0.183594, 0.178223, Circle
0.0603943, 0.0204468, 1.01465, 1.0166, 0.00200653, 0.00090456, 0, 0, 0.458252, 0.107239, 83.1875, 83.6875, 0.186035, 0.153931, 0.0610352, 0.0620117, Circle
0.0591736, 0.0671387, 1.02441, 1.03125, 0.00714111, 0.00295639, 0, 0.00488281, 0.862793, 0.60498, 85.0625, 86.625, 0.242798, 0.272949, 0.226074, 0.244141, Circle
-0.0463867, 0.0405579, 0.966309, 0.996094, 0.0424194, 0.00852203, 0.0209961, 0.0146484, 3.61133, 0.824219, 77.375, 81.625, 0.609375, 0.349609, 0.40625, 0.373047, Circle
-0.0515137, -0.0896606, 0.973145, 1.01172, 0.0490417, 0.00994873, 0.0185547, 0.0136719, 4.19141, 1.45801, 78.25, 84.0625, 0.682617, 0.365723, 0.466309, 0.375, Circle
-0.0514526, -0.0717773, 0.957031, 1.02637, 0.104858, 0.0134811, 0.0239258, 0.0107422, 8.71094, 1.50977, 76.1875, 86.3125, 0.966309, 0.379639, 0.481934, 0.328613, Circle
